Account,Token Account,Quantity,Percentage
FZ1t8TZtx7VSCQdBsxvFJiezj9paUBF6Ub7RKA2eTGyE,9WBPUC6oJ5KSY2K55Ej7R48NNSCZFhNwEsG2R2GqESKZ,178621.21,0.02
3Ak5CBdzk1KxJmGVM43V8c59LujkaZHtrqEX1NBw7LQS,5o9Lre2zGAhCRpygoxy91CtqeKyoKGWVfqMY6hhppk87,175966.79,0.02
8TWNcXvh9BXKdgNdRKGAfKzGUYsoVDMKUuAdbMYxCJEA,CxCcyz8Sts9vWSKqmf773oUyLUPV9cLdifejc2N7PUoi,168513.88,0.02
7n84gquK7kMcvAJdSmo4M3PqTFu8nJnvrP7AwFwAeu86,BUFACBDu8mVGM8tKQEmA6iBKN3Dssz3MKpFtu7oqAKfP,162755.00,0.02
FcH9X4WtgZeJ6dkDgBehfzoxAoDg8XgjpxNg8u9JZrTk,F6zdhrgcHw6snf1weD81bbMvoFX6Z8PVaJ4AMCMuDCG1,155395.37,0.02
E1tkWncjvQy617vieo9EBWi6bFAFKLkeBRcJvXxTLzNx,7VLgohBYttzWk8Cx7PJLyR9rNquzTyFYfDq6xiqoMnZb,154129.60,0.02
ARF3LLX2mr68RSzjYBCDyiV4vzoRE7LwZF77fdknynqa,q5DCifd3GzNRfFazhjuVvZYxYk39YyBrhuWpf57hcJd,148431.14,0.01
CqrwsE7Ni9AM3EGtJ68Grg9VLwP1xJWNkc5WXjLPECN6,ENYmLHmLiPRpZuvAyn2aZNvNwoYVjaT45MWyFaM3f8Gi,146363.29,0.01
AeHHtXdzLQDSNpMBVdq4JCj9ooiKH4apWFwt7gcc1ZPb,ExK1cE7ovXkkVk2HMTFdrjD78WAhHsppbweddrbgQjSh,141887.99,0.01
Fb51PyFXeC8SbFbMFyKkg2ZkpPDzV5QVGQDBzWxVRyxX,JBjsAWi5jU2LtBGqRpbiFFQ46i5HdbKTCgLusxthRDcm,139776.76,0.01
zcYKMCT7xrFraMQCsYzrGBDiEL8HewKFYm2uHb1D4Kc,GKkgLctyL6rjEh7Kz3te31cAxvfYr8tfNQGHYAj71BgT,138251.64,0.01
DuK775RuX4wke54rkQM4VdGM8ChJ8o9BiNH3vPC7QCyz,2NVvPjyfWf447ZYk3seAKvdFfdsMJfaotJFBGRb88EwJ,136110.95,0.01
GVDMcbPWCs8E3LMHvj1MdzdNuPY5TNcFpvn83QEzJnai,DwvWfVzebqxm6crnGondrk9FSCVWEbuuRnud3SbdUKyN,132782.84,0.01
5HQXBkitS3ycKMKfaJTQdGzs5CGEZyGyMg8fJffngs58,2GfF8qfDa8RcxHwTvrkcftBLyhn5Wu3FEQCkuTMDY9qE,130627.66,0.01
ATnR76TZSQ4Fk8MQLtz5pydWpBsZ6z5pWwAodw47Byzg,HreuskzfvgUGFnZfQGa85CWCVGuhpyG2QxkhuKX5qhM4,129652.81,0.01
44P5Ct5JkPz76Rs2K6juC65zXMpFRDrHatxcASJ4Dyra,37Zoqyi897GBwp6mgmE13WYCdxCA19L8znyUZBanBhW2,128475.00,0.01
GcGJ1V1TNFScT4XzrTQKdZTqVmcheYmmieeK1rufr2yK,6MwigYvPPSY4VVyqfqzVF45KdHZBdn4EzcVPgfEjk8rb,126221.98,0.01
2TgrzDeNaKjzinK4oUSQE8jkrGU9f4HiPB1mpyozWK1e,GxRrmw7rEKkCiCqeve3VRRuKa8dsVWvnf8eyKL4YyM5u,126061.49,0.01
BCWVEkQJ9jjB9X5Gyx2uVsrHT71GPsvHx9qHBNX8PhGd,8CVEPVXqiooNCy8efuGDJGCUrsbk14dHSiL3R3VGVhtU,126061.49,0.01
Bt7Phvi1k6xtjPQecQM1uJoj8CdLv3o9WwjM7omYpFTe,6Kgs9Z4zWe7ALSLKc1oPxB2SiHXLigtrT7nwJgfnZQbz,126061.49,0.01
36WFma11KmAMaMUCkczFQuoKWezvjcedbHqienAFfSrt,5jQrufUTiXfUa8T9B4b6py84iX27r8X9shLHqzG5fHKk,126061.49,0.01
6Ypth27ayxU8KujDQ2SKn1JhT1vMQ7KCFYmnxDEBHJSW,CzTAag2A2HYYNS2FfYpCTHTTe62sju6jZMgHG9TgN3ps,126025.62,0.01
3zx3Cu9CxWMANKW1b9rNpn6BzYwB6ptu9Zyvnqr9uQAP,D7urPWQLH642YDdc6jzLcwhCdYq1wKs29dSCmo29kBxt,126013.11,0.01
8JPj4KrKRrwMN4nX1Q4EouLhHex193CsjVpw9pxMgiuz,9tksvqYjeED6oWsqMLcLNgVJfBnPsGxSNdeoxhiPRA3d,126013.11,0.01
FK9Bsn2Prgbx72wxMzJJnqBEadmzxpqM8o52bgrqYcPM,HchAqXAFE5RSNkHoimoGZEHJc5WYgUPNeexbfFqpjVyE,125562.44,0.01
FsSPunPu5hLHmE8WKxRM1hVr93Z6gbbKv4SeX3Fa4GEr,Ak29VRThR2xUZV8pQq9Tw9fsN16SsThMsnXUJJLmhqCW,125326.42,0.01
55oUJNPNuGz8VqFewb1okNbBu5Uqpu7Ti52CzB9wqBty,5FiR4M67hPfAudBLs5WW29nWsahZKeaWbg5aQSHZnJxs,125058.76,0.01
AzDByJsGm9gAVQPX8v8WS3iAs3PPdTwZZDDUNP2u5nVj,F6BpZNwLEv7XjBhcKNNsszuGWfaT6gwJwio4DciEspRK,124691.23,0.01
HVh6wHNBAsG3pq1Bj5oCzRjoWKVogEDHwUHkRz3ekFgt,BHPJcRGveAXGPiJgCfceGjqmP8bn9grTfhypYfBqzPHw,123000.00,0.01
473A6X1cahivjY4tf48oXEd5dKUakvhoCaUcmWNHYNFG,F58x3qHLQPQx5aRQQSShQeAL3utLYhmijAt6UQ4s8SJZ,120400.71,0.01
8g4R7fEAGfqoQhRpfAGdqM8DeYANXnTZstJTmcKG2sNd,3DS7yw1dZx4n6YVCQ7nNiPyUYCY9g3wC1i1933JkeLDY,120075.39,0.01
8wM44Ryv9DFCSfkgUnPEPgnsc53arT4cnmXL6LnnC4UW,A2HCERoqP4GGXVCKwKkuSKy7sJkYFkc5SjHt5yTehHQJ,117169.26,0.01
FixDET3jRBMjT9M69Wim8iRpMQiJHkSSfD7wivStuuph,EEap2fufw8emQaxpzXXCHj6yaxKhBTTEZpaZgCytfMoG,116496.10,0.01
54Cfxv3Fg8eX5fvv4JsCr8quEQ9AznEjcagVTzqFFeYJ,DkbSNFZ32wiE7k9apqvQkrUM1YVHQbnaFQpWQv5YsKb2,115854.21,0.01
9UdjKCtt3pf8exfhB3tFMtx7kr6WHf55aXhoQUXioUBi,HZkbrn2xWWjBpTPibvA9FXGThy18DKUAeRcFrbEcidS4,115854.21,0.01
mZ8oXvaAbgzJccVFoKWrEpUW8xL816s4QbLTgQ3ofCq,9ZN3VH6VAXEsEYsZUSDU3j5Eem8HGbUT1GWR4erjWuJd,115854.21,0.01
8PFD2CYF275p8YdRmhk4C1wcNoKeRVrouYdMbZV6HwHH,7xxS4ezKW1dvr5jA3LrJHUFG9EmKJ84tAnpsgBodvAH7,115234.05,0.01
5LD1bKfo39ug2CQTUVjjLBjSqNrpCCmDP6wkHoXp66KL,EoUn1zT6MWvEZqZZ2713qEXmTHoXNYWYErFDhC7qmUys,115196.53,0.01
DAT7o9M4tvBcoRq4NoJXHuP2JzQV8SEaiELVhs1RsFFW,Ef53hPv9QtiyTjXfcAY96dz2bSDMBVTDhyCkCbigagi3,114904.78,0.01
Ciz7ytpnR3STXQoCACK3nvS2kVitczjjrKW88R547VvE,4HpGk1S4DptrPiS1heGdt3tAffdu6qGZRskjnW2AVAve,114212.19,0.01
6k3XyjFhyWk5AHMRuMN3RL5evZK97qQTYpuCPoWDzwjc,12QB4zhRj3bQhVG5cieceLoy8TJYHNAeftWLiggDpvMf,113614.18,0.01
Hot2JiR82hBQpzcfuQHtTFw28Z3FbDRugRFzm2gMzGzt,HtxzwCPRR5mpNgqqa6Rs6huyTSASPoCj2Ba9PDoatQ8Z,113297.63,0.01
BDo5AAxLUxANSqLCDEZYsVWfSDukZ5yFTizUoMFB97mw,6uf1AZkheXbra85bQnhZ36zcgANYWS18m6bD61MviZd1,111746.98,0.01
M2St7Gra11AKvk3tC4fJPkxviWYKpLZSMmKcHNoDtxp,87Dajb7ETT7HhtUwRF79VBjwvXkBuA2QpmbVsqxvVe3L,109713.59,0.01
3c1rP5QT1GYY3xo7E5Ahxq68ctmV1ovCny4c2UsNau4D,FDg9vJDsrFhv5Gn5REgTTKjLwwffEDyyiegK2iL7mYeZ,106292.78,0.01
3A4VAa7o8gb2QQ672C8r2L9VJGs1P6sL4xTnHm3A4sKy,3wvsUWyhmrvk3KsqRcb6isdqy9bC5vcmDWzskVFJE6m1,105086.50,0.01
6v434aRMo8S21HFWVUVT9bfqF11nwoH6PM7bJJzQGPhW,5DLeZeWoKbnBbYVbCpaeVyYy45CS8wUVejgkQ6z8k1GV,104429.30,0.01
5SDrsMNTYdhmApjfqYHDvjoW92f2S42vcc7zNDVcQ9Ej,CgP1MSNiVAKw2WdMVK4NzatQ7HD7RcqqhfkHpQcKFNXA,103908.90,0.01
Bd6gGsemYqoRuPzw7cXss24hjixhfCMWeNncPujkTLJ7,4eFc9tzsdjGgoLUUmmSqncMtemEKoK8qYLmArKrxGebv,103346.47,0.01
EKtMLH9vbQgUmgrNwbtX7FruKqie6hC7qwmGvpncvAnA,GSekdeGiWzujJSaao7JJAPAgwfizcT7C32aqYJHeYH6i,101149.02,0.01
6j9hJCimtRx5m5TTMvNu877fkvtinEUWqWAtLNFMxMpy,7ufUVY6Hqa9rJAGcYf1b54b2bYrL1YnxtzFm5P1dBreK,100413.29,0.01
22ozj9XYSXE6gCMDqEDtKGi6gyyRSCm1psM8MYLWCrg2,47MV2vkYfgyyA3oQTKuoHyA9EtDqe1qN6Xk6Ywq3wzRB,99000.10,0.01
8KDHRRpnwDU51V5ioNfN4owwSjbbFbeoU33kV5Nba5aU,FjpE7wBDEMyDdhGVsq8ds44EjtvZGeYeczZp7vxRXEE2,96284.06,0.01
HqqzZC5qsNKtZBrBsYvbXhzxUQaADSzkDaifHWe1GvEH,25VcUcU3wefjBmqYtkLhAEvNXdLMfrrGA1EGbY7sRPct,95382.84,0.01
BfL4vheeQAPmJMXR6HZQp5FqB1ER484LWacsncBuxiM9,8aQ5U7rBbkQ1MKm7jgSVAgXMH2arX8v5K5uAAS5X7xQV,95000.62,0.01
C1KwnfZv3e32eQNoXB7xwpJsnZ3c1FKpYeApgRnoB8Uc,LPEqvNo9rXKE6YfZka6sQzURKwzJ2xvHaP4xDYVjv72,94861.94,0.01
6AH3UpFjFuoi75iaKETRAt5DHfJoBSTLuaFNZcESiSny,JBd8z6t44WxPRM8LT2KQCmFgmuDvh3UYmVZRTiL8NfEQ,93252.58,0.01
DQJPHgVtabQPFodXAwjMamYxduG55xWDVkZBGqYrqjpZ,ACPKCrmWide6zzh8tinNqncTKbdyzWdmDAaztDQSYeQJ,87921.45,0.01
CKQLsoq4Wq143TEv6voeZc7M6wYAqhXc5Q3nNUXQK8hf,6bmW4DDF9L1T4MJXsjCcECcnGXwrvmDMBDnspEoUvCKF,86817.21,0.01
GL8T72PKygWaYrLKtSteN9UUvYYnuC8azNDunk4eaqqQ,ETXxQ5iMd7LkzBS2NAPS8PZWYPPKUFLbSk4nY2XndbSt,85321.69,0.01
GoiuwftdxtMQju3dFepE4Pn1T9XFKuiKrvtLeMrGmXMr,Hs2dGJkXn5px22rq1WUbsG1oEu6XXMPEMjcgYXrERHgk,85316.06,0.01
39oiRP3TPoUnsecjVKxzStyzzZQcGuFPRwXmN9hDQJhK,6M3NpZiMS5KcPsdMwdtJQuirqA1WqisZqQ1pauz9f94F,84406.41,0.01
6isegnin8EXpZf6323PSKN4oSDEcG3VGrW7QwG5CAnz3,6A1Gzi15vEpcYDEAMVYAgbspMtw1rjbAtPTX916QTeGQ,83792.84,0.01
KouB85AaoPT98WpJyu56r7iWyB9gS1hWjFrX9j9A4sZ,BQ9QsRhSUYU8DdCNB6JToi9yrkvDghETVwXVKngL7YUr,83657.59,0.01
6gn9y7iG72MxMmD9wAbGWA5ZQSTtUZtZ2AAk7wvQEMbM,6dWEp867eh7RxrMeFrypM7fvGjWzPjKSHRYpNgLwiHCX,83234.68,0.01
33sN6GeTukyyfp4WqUD7NauTHo1xKfFPrHuudz31GXaA,CygzFb3YYF7UfDVK3M2yRuXSFHEbH1gD7TQMavYDxuyz,83002.88,0.01
G9X7F4JzLzbSGMCndiBdWNi5YzZZakmtkdwq7xS3Q3FE,33iMtDRHkYbYsbFL6kMAbtzd7vyHcPFKgcBingP8QXFJ,82422.39,0.01
